"","metro","gdpusc_2016","gdpppp_2016","emptot_2016","poptott_2016","gdppk_2016","CAGR_gdpusc_2000_2016","CAGR_gdpusc_2014_2016","CAGR_emptot_2000_2016","CAGR_emptot_2014_2016","CAGR_gdppk_2000_2016","CAGR_gdppk_2014_2016","CAGR_poptott_2000_2016","CAGR_poptott_2014_2016","cat"
"24","Changchun, Jilin",82976.0576354737,168319.271009794,2411.65343753785,7769.28617619535,10.6800104608976,0.124449993486232,0.0660323711934181,0.0246887980367427,0.00397238781008524,0.118331643908564,0.0650939752143473,0.00547096168743333,0.000881045241929668,"3"
"25","Changzhou, Jiangsu",74378.0705428608,163929.268279143,2744.14110517493,4712.57081855418,15.7829077602445,0.123479963275857,0.0854396521869485,0.0652869380547352,0.0357838938953954,0.107856440014607,0.0835757511766089,0.0141024799756948,0.00172013909347424,"3"
"26","Tangshan, Hebei",96110.7215987596,196636.012219555,1515.31558326859,7848.33798499899,12.245996768037,0.108504015566789,0.0605412919932049,0.0263991343521957,0.00216382608658594,0.100880425272634,0.055112899981886,0.00692499395860113,0.00514484469994847,"3"
"27","Zibo, Shandong",66182.6123896645,128526.028003546,1392.87847911091,4739.90022595974,13.9628703632182,0.122640258184859,0.0699060243448446,0.0364221240397,0.00169568172474821,0.113653055913675,0.0587497056428969,0.00807001985354527,0.0105372579019263,"3"
"28","Hefei, Anhui",70720.1293869253,178928.835349755,2815.38588453333,6272.05827943517,11.2754260620955,0.144079207426038,0.0994576907656652,0.0611387804075905,0.0142297493577337,0.122328559925267,0.0831907332942405,0.0193799287280179,0.0150176298332549,"3"
"29","Baotou, Inner Mongolia",61920.3038514692,117043.819623218,1411.75158247195,2810.64851045275,22.0306109501735,0.163291104041994,0.0769441178121304,0.0244604358767118,0.0173870343656781,0.148578392973753,0.0746169224112798,0.0128094966423216,0.00216560464693671,"3"
"30","Xiamen, Fujian",51482.6164919127,109209.514305009,3187.84692503064,3821.80094107119,13.4707739324285,0.126809321527394,0.0793748851063367,0.0900461508552293,0.0538157116519529,0.0838908401573124,0.0710547984718539,0.039596682414857,0.00776812413926287,"3"
"31","Zhongshan, Guangdong",44822.9884054458,94771.3418932642,1897.60145522994,3255.81996464511,13.7670353066748,0.133328833551878,0.0820168215678851,0.0699969456303362,-0.00628989241300337,0.111893024679765,0.0714775605049511,0.0192786611628279,0.00983619391708701,"3"
"32","Yantai, Shandong",103094.922404179,193149.649918286,2082.40073147041,7163.07446186895,14.3925521021709,0.128035726484462,0.0784931590356182,0.043988399912396,0.0122419166600425,0.122379716168725,0.0693858553436535,0.00503930197085567,0.00851638690231038,"3"
"33","Zhengzhou, Henan",102003.391984584,229477.768558232,3262.95441103274,9462.25250321118,10.7800327617518,0.126326801319611,0.0926156046955278,0.0333382717018016,0.0296956344525383,0.104540031839312,0.0871656441715014,0.0197247441036785,0.00501299921796128,"1"
"34","Taiyuan, Shanxi",37361.9764806408,79351.9919787382,1935.34522896004,4365.26958701231,8.5589161759451,0.0993237659089006,0.0659407124286613,0.0275977500528919,0.0169631583154861,0.0809742254570041,0.0578064051933913,0.0169750027519286,0.00768978822148725,"3"
"35","Dongying, Shandong",58978.054963777,109051.480167168,688.106758830743,2157.00098960302,27.342618407714,0.125792252242658,0.0706202100331634,0.0283603459343014,-0.00375414050454881,0.112593638638183,0.0591884745402189,0.0118629238439931,0.010792919076944,"3"
"36","Fuzhou, Fujian",79811.795270825,175844.124509087,2877.068289495,7564.15344028991,10.5513189150439,0.117481211609447,0.0886592625666267,0.0542641890845312,0.0597136569184218,0.105722671837379,0.0784090071947843,0.0106342576412304,0.00950497937559525,"3"
"37","Xuzhou, Jiangsu",73885.354962284,165742.75575167,2236.12026700928,8673.02940362365,8.51897895462158,0.124529735731615,0.0867862136601147,0.0485513057120204,0.0139855471031229,0.126276529476039,0.0828826426836908,-0.00155094570357128,0.00360479596085272,"3"
"38","Nanchang, Jiangxi",56964.1207368671,125935.271992986,2071.02099459174,5336.98860128341,10.6734574481139,0.132626683420297,0.0940616507171452,0.0448203133364518,0.0320197333011516,0.119806420031292,0.0840933625187257,0.0114486425150575,0.00919504587248809,"3"
"39","Kunming, Yunnan",56461.0719589217,124222.359407574,2038.02705761346,6695.93799651527,8.43213781076011,0.112742619601315,0.0830016914443834,0.0408419822037422,0.0338864529882279,0.102630491102733,0.077176776947137,0.00917091317551866,0.00540757526703728,"3"
"40","Nantong, Jiangsu",86085.4591303815,188630.715099899,3152.23691971591,7325.13412689692,11.7520659197607,0.125126592519364,0.0878405258234998,0.0479650398403995,0.00166822782232923,0.126727237742742,0.0858238399684008,-0.00142061465256216,0.00185728640398763,"3"
"41","Hohhot, Inner Mongolia",46006.7582332663,95117.4326540257,1052.62433232781,3039.08668801684,15.1383500887525,0.16076889446483,0.0775240150017391,0.0248093183377649,0.0187727538716207,0.144760892201899,0.0758866889169656,0.0139837081891752,0.00152183877878587,"3"
"42","Nanning, Guangxi",46079.5399289197,106361.398548405,1900.01734685639,7049.41579209392,6.53664662263204,0.122746623772662,0.0803211663334369,0.0528880512179282,0.0353845621898579,0.118077232644253,0.0698791592178589,0.00417626885878475,0.00975998740195272,"3"
"43","Urumqi, Xinjiang",35570.7058489542,82469.6541890335,1698.24398516407,3493.4808519416,10.1820239916829,0.122923697027458,0.096924446045519,0.0675858705306243,0.045734307691621,0.0878464249001449,0.0859020948678264,0.0322446912766503,0.010150409719059,"3"
"44","Wenzhou, Zhejiang",65295.8064349722,143254.356749241,3577.34367100509,9195.48430160329,7.10085562579749,0.106705536876254,0.0780819779008177,0.0718540565392023,0.0520049494892474,0.094501191288491,0.0705827419007783,0.0111506005520157,0.00700481682221477,"3"
"45","Shijiazhuang, Hebei",81729.6560083328,168905.539339326,1565.43097547969,10770.5956449523,7.58822062423595,0.107345592920209,0.0721206789118365,0.0232968832364695,0.0147185947870727,0.0966732209994416,0.0644085580068727,0.0097315879665969,0.0072454518022711,"3"
"46","Zhuhai, Guangdong",29333.3283674467,61719.1767452053,1038.05948052348,1657.24187776806,17.7000887806143,0.116063847724003,0.0842534183999362,0.0475029615307732,-0.0121355091618799,0.0967796149954097,0.0700811761493034,0.0175825958697038,0.0132440814458878,"3"
"47","Huizhou, Guangdong",46002.8633469418,99738.0520286661,2180.06974162355,4821.99102708515,9.54022168198643,0.130796711099776,0.082749765077216,0.0916162700166074,0.0228238062615442,0.103554872993731,0.0719870205782123,0.0246855310711853,0.0100399951607606,"3"
"48","Jilin, Jilin",40755.3654471384,72138.5484147398,876.397200296187,4391.26871365428,9.28100011744056,0.120656124616065,0.0646251421867738,-0.00629852961044797,-0.0271207961544446,0.121990369962158,0.06582373563856,-0.00118917718174238,-0.00112457005010147,"3"
"49","Yangzhou, Jiangsu",56488.9973478855,122602.432145928,2394.00522015839,4494.66689949653,12.5680052851554,0.123220062950798,0.0897709746183557,0.0584294506029051,0.016308368797473,0.12449190040683,0.0877364353288939,-0.00113103300750494,0.00187043407150989,"3"
"50","Quanzhou, Fujian",92442.6445056988,191881.385006378,2788.63401230359,8534.66361176987,10.8314338690765,0.122601549848991,0.085166428021906,0.0408507569880112,0.0141411946022822,0.111533777396917,0.0754506397551022,0.00995720748855167,0.00903415545786102,"3"
"51","Weifang, Shandong",77007.5113277157,154114.343263442,1760.44273495476,9474.2823650564,8.12805744651852,0.125152479830757,0.0780094838305576,0.0483074576295444,0.0387528290765777,0.117232378002039,0.0680730622751409,0.00708903714631037,0.00930312907082476,"3"
"52","Shaoxing, Zhejiang",62857.7016508281,141606.963005655,2272.26694695824,5016.31104727152,12.5306626838895,0.110302623611261,0.072386270934967,0.0800060414404411,0.027328330569043,0.101017710569421,0.0659201329817829,0.0084330278729472,0.00606624994979299,"3"
"53","Erdos, Inner Mongolia",66383.2880024441,129339.035660995,523.468931934613,2052.59015913847,32.3412288161349,0.181158026016925,0.0772176220127352,0.0262334482745894,0.0353882384914435,0.152888354325048,0.0724342486596614,0.0245207366227813,0.0044602952200119,"3"
"54","Yancheng, Jiangsu",59666.9327686617,127875.285809571,1943.67786178994,7267.42609387156,8.21018776083287,0.124421887657422,0.0917778192384238,0.052494608770288,0.0500504020663841,0.130536214231448,0.089580033497259,-0.00540834207436924,0.0020170943607607,"3"
"55","Jining, Shandong",63948.35162638,123296.623493462,1293.55044322238,8482.38772945017,7.53895644316712,0.128038836675463,0.0807947491817385,0.0270414983718508,-0.00453044138080494,0.121325172819048,0.0683023625376173,0.00598725866426109,0.0116936806303103,"3"
"56","Linyi, Shandong",60379.0673330358,116982.793587195,1606.98875420206,10544.0690701881,5.72635354824724,0.129523468169365,0.075395520018511,0.0284481100410674,0.027054790736486,0.125106776302135,0.0618354317446663,0.00392557574112806,0.0127704236159878,"3"
"57","Taizhou, Zhejiang",51999.5010290998,113038.317803159,2074.03794461546,6106.66272965337,8.51520762340373,0.107719263394223,0.0685267742303435,0.0567092202245911,0.00926981047341324,0.0973190490915696,0.0604770086003414,0.00947783993293805,0.00759070264109396,"3"
"58","Taizhou, Jiangsu",51070.7754462958,112457.033101029,2182.0401824971,4654.63082231497,10.9720356771272,0.126172935531296,0.0908237665962413,0.0624458542251634,0.0371196251986405,0.127949142623573,0.0889437158441533,-0.00157472267601078,0.00172649029030003,"3"
"59","Jiaxing, Zhejiang",51560.5157747535,110678.776299823,1618.60739936876,4624.38237665488,11.1497085610924,0.114980401332403,0.0711663414211228,0.0687976336440073,0.042087634448237,0.098626831495753,0.0648492981297177,0.0148854637150859,0.00593233549808425,"3"
"60","Luoyang, Henan",55606.8087400538,109270.974641324,1579.50868208707,6718.74250622213,8.2763714621534,0.120981541622651,0.0856913545188731,0.0363216776755859,0.0459538796366217,0.118410054430942,0.0818692584768359,0.0022992346872428,0.00353286315521939,"3"
"61","Zhenjiang, Jiangsu",51214.5205392756,108038.630244396,1334.07890847644,3185.22480748003,16.0787773657312,0.126068610709112,0.0867506528767819,0.0686917357261405,0.0394116433837861,0.117963690054752,0.0843896803856885,0.00724971725509471,0.00217723622217947,"3"
"62","Jinhua, Zhejiang",48941.8183613327,107498.306370893,2585.57802419452,5506.02106625794,8.88878153068801,0.113547491054899,0.0769686002492747,0.0851716915891143,0.0303387063484979,0.101972459025292,0.0701971090974711,0.0105039213410523,0.00632733081994052,"3"
"63","Yichang, Hubei",40930.5916601205,106371.431651709,2691.27408425727,4137.12526019734,9.89348619774886,0.123611025351517,0.0849057447574169,0.0605291941153412,0.0115664338640482,0.121390049022198,0.0806195087654391,0.00198055648099893,0.00396646179086146,"3"
"64","Xiangfan, Hubei",40052.1218453323,105724.563867895,1721.70850363675,5647.35003005152,7.09219751426793,0.120586568373238,0.0836645611809494,0.015509656296772,0.024857177040899,0.118306666534682,0.0791312922812626,0.00203870897561664,0.00420085019507077,"3"
"65","Cangzhou, Hebei",49990.3177066389,100717.275948699,970.451366391381,7490.8237549552,6.67354076693771,0.114398317770946,0.0734445911829769,0.0270873803975797,0.0184342827450164,0.105902582135759,0.0651134155361814,0.00768217361314072,0.00782186716012911,"3"
"66","Taian, Shandong",49241.953430625,97891.1373143219,1647.15078027271,5722.86839659109,8.60441827737236,0.128449129892579,0.0796401534478146,0.0453998870403747,0.0173022739629844,0.123227575486938,0.0692672104046947,0.00464870567603071,0.00970098301171518,"3"
"67","Handan, Hebei",50656.9348990413,97888.3897156464,2091.97977345363,9483.78033896794,5.34142853255435,0.105874312655976,0.0659786711473755,0.0462772034578955,0.0152079438156481,0.0972871632152672,0.0597853946000817,0.00782579959793495,0.00584389686709264,"3"
"68","Baoding, Hebei",46519.6621270004,96140.4034275985,1470.29147012689,11628.1816738856,4.00059643301529,0.105995410892486,0.0671093005689263,0.0240779643968267,-0.00733028515136569,0.0986502873769151,0.060754554408128,0.00668558830772947,0.00599077904911183,"3"
"69","Guiyang, Guizhou",38289.9876489727,92666.4561365188,1529.64119567607,4659.5027614724,8.21761239537781,0.141811823867701,0.114354532850353,0.0431105074748517,0.0104767112819693,0.127850760489161,0.101908301542595,0.0123784669635594,0.0112951606683915,"3"
"70","Yulin, Shaanxi",38079.3305231534,90518.3540184632,560.0729970412,3420.96858900643,11.1311546810236,0.141996460273184,0.0620421573270047,0.0322954542204001,-0.013408456930756,0.137813678284556,0.0562738991326834,0.00367615723774239,0.00546094928508367,"3"
"71","Weihai, Shandong",49579.2291709091,90071.0470116091,912.488695194878,2866.35714975338,17.2969475123415,0.125589015048115,0.0786448069379233,0.03774701376748,0.0231799367061967,0.118384718008442,0.0709052616707935,0.00644169839203634,0.00722710546314342,"3"
"72","Nanyang, Henan",46609.4321835777,88657.7912821466,1534.36852141356,10174.8946116471,4.58082702205333,0.108228275388336,0.0831509143246412,0.0285661791931691,0.0343565503043259,0.106752235982716,0.0783380021022575,0.00133366742585284,0.00446326867179003,"3"
"73","Yueyang, Hunan",38828.6086357437,87654.5178223463,1373.79894207946,5658.43216875193,6.86207901371876,0.118408032106196,0.0822745079091591,0.0628963890579579,0.00336520884212299,0.109630739093312,0.0762007703074521,0.00791010261671055,0.00564368449575836,"3"
"74","Zhangzhou, Fujian",38287.6630088993,85918.4517316659,958.266717570039,5085.63057508491,7.52859698391679,0.120112942796321,0.100865600352143,0.0451047502297024,0.0354155643487837,0.112835359518869,0.0900643705422195,0.00653967652555432,0.00990879997715255,"3"
"75","Dezhou, Shandong",43026.4626100966,84422.6955383733,908.672017410911,5872.58279596744,7.32666768694038,0.128107719445813,0.0773824780933465,0.00290595027812546,-0.014779439596152,0.120536946297586,0.064960209786266,0.00675637976350729,0.0116645375037756,"3"
"76","Huaian, Jiangsu",35808.3846239476,83991.1135199171,1550.47340198257,4891.39305022659,7.32069254223779,0.142198041263195,0.0963272815874332,0.0655587492421141,0.0334345215051344,0.144127934034757,0.0919149491197992,-0.00168678057248084,0.00404091222598502,"3"
"77","Changde, Hunan",38474.7099058329,83147.052776531,1605.41456324775,5878.97531927048,6.54445848406916,0.117938962043149,0.0823381864512414,0.0374815696394821,0.0385690500386497,0.115955947333814,0.0778944488712763,0.00177696504424985,0.00412260920781105,"3"
"78","Liaocheng, Shandong",40864.0414327157,81500.301335666,770.236635483559,6103.76304005701,6.69489316091373,0.131663090253991,0.0827602385368837,0.0279397550938925,0.0194984275628303,0.12291101678818,0.0708184735425097,0.00779409350782267,0.0111519975508716,"3"
"79","Hengyang, Hunan",35740.0462171608,78881.036912752,1598.38035746429,7371.68573145307,4.84828674459999,0.113942075919126,0.0806670834968355,0.0591806516869919,0.0183155827620169,0.107861047423853,0.0756501962894829,0.00548898123046482,0.00466405084539434,"3"
"80","Wuhu, Anhui",30796.6179449666,78790.1472050916,1019.20039368732,2477.086156854,12.4325986238926,0.134496844005646,0.0976903631992958,0.049986177816455,0.0470216817832039,0.12562309483247,0.0848440796711911,0.00788341072061693,0.0118415943533547,"3"
"81","Maoming, Guangdong",35459.5311476637,77818.1967707871,762.756275102256,6164.07748826685,5.75260956974664,0.104716150403853,0.0740551976382862,0.0414529818254812,0.0380863083025569,0.0945539156778399,0.0639826621146664,0.00928436194915072,0.00946682298713486,"3"
"82","Zhanjiang, Guangdong",33750.6455456979,74709.2603454744,834.527003958043,7341.81606969577,4.59704318731271,0.10643500556079,0.0756472374524499,0.0352676459869565,-0.0144786612590516,0.0943815972939244,0.0661252295562982,0.0110138988965729,0.00893141596519054,"3"
"83","Binzhou, Shandong",37528.7174797766,73713.3249226205,853.035777508479,3943.14622222533,9.51745519053999,0.127931855944442,0.0731223125210152,0.0490813271681401,0.0147789547101944,0.12054884819082,0.061982089290517,0.00658874244129826,0.010490029297896,"3"
"84","Liuzhou, Guangxi",30270.6745628714,73267.2167140813,1347.16390388227,3955.12747705565,7.65352690614313,0.123080149442635,0.0736375242759144,0.0403640547706934,0.0428320751483882,0.112927514541626,0.0642821421953941,0.00912245835272518,0.00879032139092573,"3"
"85","Heze, Shandong",30990.2898929839,73005.700361197,1004.40819531682,8693.22293702421,3.56487923034817,0.13341058601081,0.0898715722806345,0.0545122802445714,0.0527593408234113,0.128118160744056,0.0768334066222001,0.00469137493829797,0.0121078762771043,"3"
"86","Zhuzhou, Hunan",31860.6480608017,70039.9142967569,1228.85657432213,4026.38351822755,7.91296902457694,0.119406739533141,0.0848651263323488,0.00324477612838781,0.0133149409536868,0.1109292108156,0.076007052730982,0.00763102512293945,0.00823235645053111,"3"
"87","Jiangmen, Guangdong",36538.1337889752,68987.482146516,1305.45717457886,4580.18502023527,7.97743620127781,0.108178282790109,0.0773123433209844,0.0584802029232052,-0.0246312718354609,0.0991116165892172,0.0691927245498158,0.00824908595637286,0.00759415826981735,"3"
"88","Langfang, Hebei",30574.8505096454,68797.0563785138,905.786444514152,4593.9552342149,6.6554524262513,0.109812787646069,0.0795618587314235,0.0349411543461129,0.012792055580092,0.0972066478399456,0.0710502026086719,0.0114893031599301,0.00794701882509363,"3"
"89","Xuchang, Henan",34339.5693002449,67402.9372836583,809.400157134104,4364.53236211654,7.86786909825827,0.121153327161523,0.086982749888818,0.0420191203568923,0.0270235619672645,0.119926853321126,0.0807365383258638,0.00109513745184375,0.00577958766216047,"3"
"90","Zunyi, Guizhou",29929.8619187558,67289.2133703409,651.799754793167,6243.08770686709,4.79408000080384,0.131182707050395,0.119419227810301,0.0496289589895753,0.026143816527946,0.136555445686439,0.111484843315159,-0.00472721208317139,0.00713854493190946,"3"
"91","Lianyungang, Jiangsu",29208.5393391265,65444.4251527583,951.719937542857,4488.65729546501,6.50718854581226,0.121577983453694,0.0928008927721631,0.0605132481167934,0.0155850690812944,0.122656193581136,0.0882928140537738,-0.00096040990430224,0.00414233987413493,"3"
"92","Lanzhou, Gansu",28764.9398802204,65381.326944676,1445.06737113963,3703.9074858804,7.7661064672578,0.113137719129999,0.0830513245113336,0.0356391232553144,0.0344017713688483,0.101838958998376,0.0773331836362701,0.0102544569143697,0.00530768100520507,"3"
"93","Huzhou, Zhejiang",30056.8309593796,65231.4248568872,1216.27699407315,2978.00145660966,10.0929537467715,0.114143992278693,0.0791597932086039,0.0914165771017181,0.033916157391251,0.106703238981468,0.0704271441251649,0.00672335006814717,0.00815809757008346,"3"
"94","Suqian, Jiangsu",26014.1093749942,65028.7629155719,1377.23880695354,4865.17229568838,5.34700680550379,0.125381419844046,0.0926620910221871,0.0826083224886767,0.0314134625825671,0.127987521220789,0.0893631974312405,-0.00231039912030451,0.00302827706932418,"3"
"95","Zhoukou, Henan",30906.6263824366,64921.1373020282,1217.7172790163,8855.54681756096,3.4900867240798,0.100951313369085,0.0812199774031888,0.0313241411002481,0.0115860284136617,0.110244002598449,0.0771393060074854,-0.0083699521975491,0.00378843420989683,"3"
"96","Xianyang, Shaanxi",29322.7537713016,64474.7925098869,729.466744320954,5001.7241021014,5.86252923446579,0.128564745310334,0.0810179557055239,-0.000621216947422787,-0.00472103835799498,0.128861495936331,0.0761537288004352,-0.000262876027808168,0.00452001119813117,"3"
"97","Zaozhuang, Shandong",32550.5148679487,63528.9999535813,862.275474398979,3961.01288173419,8.21772507179971,0.123195002896121,0.0716991471805368,0.0298251956000739,-0.0149892924249511,0.115168778763912,0.0569795441826315,0.00719731782762523,0.0139261001586251,"3"
"98","Xinxiang, Henan",29126.3340980104,63503.2100097797,1093.16263447347,5758.6083370355,5.05787724973227,0.119922233612693,0.0720356760652021,0.020441941069822,0.000777806663081027,0.118259871030894,0.0668237854171458,0.00148656195653918,0.00488542786475121,"3"
"99","Ganzhou, Jiangxi",28769.511072111,62006.1635238303,1391.62542453992,8601.57837661067,3.34467812911416,0.116724091930981,0.092753746839294,0.0502454978863105,0.0467940029485767,0.108080966263849,0.0867586414549328,0.00780008494891393,0.0055165012318974,"3"
"100","Zhaoqing, Guangdong",27499.7512697638,61786.1400505122,1168.12369353515,4117.05495884542,6.67947150199708,0.124312214226578,0.0803181722519528,0.0595114609356455,0.0582137794517599,0.111425202921837,0.0696048653829415,0.0115950324600003,0.0100161351315244,"3"
"101","Anyang, Henan",30550.3351863534,61454.2812517557,1066.14478756303,5150.46240252482,5.93157134228905,0.116901816940481,0.077649654168255,0.00503647579209376,0.0296067385833594,0.119782834256332,0.0706254003107407,-0.00257283575682243,0.00656088848207381,"3"
"102","Jiaozuo, Henan",31220.9131555073,61189.9713971804,974.519300833258,3552.24810411605,8.78905758844128,0.127923441922353,0.0853187319044582,0.0341511654777553,0.0347990876442728,0.12525490327415,0.0796951565404489,0.00237149701853201,0.00520848438556332,"3"
"103","Chenzhou, Hunan",26253.9322612684,61049.8374816097,931.44612154028,4754.47958946227,5.52193605362342,0.113705991285357,0.0800586927797526,0.0401872578730633,0.0297378214305941,0.106811726430898,0.0736129640335008,0.00622894092086512,0.00600377320522982,"3"
